REPTreeDepth3, 2 folds;J48.0001., 2 folds;DefaultAccuracy;NominalAttDistinctValues;RandomTreeDepth1, 2 folds;Cardinality;RandomTreeDepth3, 2 folds;CfsSubsetEval_NaiveBayes, 2 folds;J48.001., 2 folds;J48.00001., 2 folds;DecisionStump, 2 folds;SimpleMetaFeatures;RandomTreeDepth2, 2 folds;NaiveBayes, 2 folds;CfsSubsetEval_DecisionStump, 2 folds;CfsSubsetEval_kNN1N, 2 folds;REPTreeDepth1, 2 folds;Statistical;kNN1N, 2 folds;REPTreeDepth2, 2 folds;;
15;38;0;0;15;0;22;31;53;32;0;0;15;31;32;38;16;16;300;16;;
1;1;1;0;1;0;0;15;0;0;0;0;1;0;16;16;15;0;0;0;;
0;4;0;0;18;0;0;15;0;15;0;0;0;0;32;16;0;0;16;0;;
1;1;0;0;0;0;0;15;0;0;0;0;1;0;16;16;16;0;0;0;;
0;0;0;0;0;0;0;16;0;15;0;0;0;0;16;15;0;0;16;0;;
0;15;0;0;0;0;0;31;0;16;0;0;0;16;23;15;0;1;18;0;;
0;0;0;0;0;0;15;22;0;0;0;0;0;0;16;16;0;0;16;0;;
1;0;0;0;0;0;0;16;0;0;16;0;0;0;19;15;1;0;0;1;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;17;31;5;0;0;0;0;;
0;0;0;0;0;0;0;5;16;0;0;0;0;0;15;33;0;0;0;0;;
16;0;0;0;0;0;0;16;0;0;0;0;0;16;15;22;16;0;15;0;;
0;0;0;0;0;0;0;16;19;16;0;0;0;1;31;31;3;2;13;0;;
0;0;0;0;0;16;0;21;15;0;0;0;0;16;2;15;0;0;15;0;;
0;0;0;0;0;0;0;21;0;0;0;0;16;16;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;16;0;0;0;0;;
1;0;1;0;0;0;1;15;0;15;0;0;0;16;16;16;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;15;0;0;16;16;;
0;0;0;0;15;0;0;16;0;0;16;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;0;0;;
0;0;0;0;0;0;0;21;0;0;0;0;0;0;16;15;0;0;0;0;;
16;31;0;0;0;0;15;31;37;31;15;0;6;31;32;22;32;16;270;32;;
15;31;0;0;0;0;0;16;16;0;16;0;0;0;22;15;0;2;31;16;;
0;1;0;0;2;0;0;16;17;0;0;0;0;0;15;31;3;0;16;0;;
1;2;0;0;15;0;0;16;0;2;0;0;1;16;16;15;0;0;0;1;;
0;0;0;0;0;0;0;22;0;16;0;0;0;0;16;31;15;0;32;0;;
0;0;0;0;0;0;0;5;0;0;0;0;0;0;16;32;0;0;0;16;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;15;32;0;0;0;0;;
0;16;0;0;0;0;15;16;20;16;0;0;0;0;31;31;2;0;53;0;;
0;0;0;0;0;0;0;20;0;0;0;0;0;0;3;15;0;0;0;0;;
16;31;0;0;0;16;0;15;16;22;15;0;0;0;38;32;15;0;168;16;;
0;15;0;0;0;0;0;15;0;0;0;0;0;0;23;16;0;0;0;0;;
0;15;0;0;0;0;1;16;0;1;0;0;1;0;16;15;0;0;0;1;;
0;0;0;0;0;0;16;15;19;0;0;0;0;16;16;16;3;0;15;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;16;0;0;0;0;;
0;3;0;0;2;15;0;31;0;0;0;0;0;0;16;16;17;0;16;0;;
0;0;0;0;1;0;0;15;0;1;0;0;0;0;32;16;0;0;0;0;;
0;0;0;0;0;0;0;16;16;0;0;0;0;0;15;15;0;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;18;0;0;0;0;;
0;0;0;0;0;0;0;17;0;0;0;0;0;16;15;19;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;16;0;0;0;0;;
1;0;0;0;0;0;0;16;0;1;0;0;0;0;15;16;0;0;0;16;;
0;0;0;0;16;0;0;15;0;0;0;0;0;0;16;16;0;0;16;0;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;15;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;16;0;0;0;0;;
16;47;0;0;0;0;0;31;53;47;16;0;0;31;32;22;16;15;270;21;;
0;0;0;0;0;0;0;16;0;0;0;0;0;0;15;21;0;0;0;0;;
0;0;0;0;0;0;0;22;0;0;0;0;0;0;16;15;0;0;16;0;;
16;0;0;0;0;0;0;22;0;0;0;0;0;0;15;16;16;15;16;0;;
0;0;0;0;0;0;0;16;16;0;0;0;0;0;15;22;0;0;16;0;;
0;0;0;0;0;0;0;16;16;0;1;15;15;19;15;18;0;0;0;0;;
16;16;0;0;0;0;0;31;1;0;0;0;0;15;21;16;0;0;16;0;;
1;0;0;0;1;0;0;16;0;0;0;0;0;0;19;16;0;0;0;0;;
0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;15;0;0;0;0;;
